

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
037.509  000.022  000.022: require('mason-core.providers')
037.616  000.052  000.052: require('mason-core.purl')
037.623  000.093  000.040: require('mason-core.package')
037.709  000.027  000.027: require('mason-core.installer.registry.expr')
037.715  000.063  000.035: require('mason-core.installer.registry.link')
037.847  000.023  000.023: require('mason-core.receipt')
037.860  000.065  000.042: require('mason-core.installer.context')
037.884  000.023  000.023: require('mason-core.async.control')
037.908  000.024  000.024: require('mason-core.installer.linker')
037.911  000.145  000.033: require('mason-core.installer')
037.920  000.184  000.038: require('mason-core.installer.managers.std')
037.921  000.205  000.022: require('mason-core.installer.registry.schemas')
037.943  000.021  000.021: require('mason-core.installer.registry.util')
037.948  000.324  000.035: require('mason-core.installer.registry')
037.949  000.439  000.022: require('mason-registry.sources.util')
037.954  000.860  000.040: require('mason-registry.sources.github')
041.623  000.046  000.046: require('lspconfig.server_configurations.eslint')
042.018  000.032  000.032: require('lspconfig.server_configurations.tsserver')
042.309  000.031  000.031: require('lspconfig.server_configurations.pyright')
042.910  000.254  000.254: sourcing /home/brian/.local/share/nvim/lazy/vim-surround/plugin/surround.vim
043.474  000.020  000.020: require('nvim-tree.notify')
043.478  000.051  000.032: require('nvim-tree.events')
043.539  000.019  000.019: require('nvim-tree.log')
043.588  000.017  000.017: require('nvim-tree.iterators.node-iterator')
043.612  000.071  000.054: require('nvim-tree.utils')
145.141  101.529  101.529: require('nvim-tree.git.utils')
145.276  000.122  000.122: require('nvim-tree.git.runner')
145.323  000.044  000.044: require('nvim-tree.watcher')
145.356  000.031  000.031: require('nvim-tree.explorer.node')
145.360  101.863  000.047: require('nvim-tree.git')
145.389  000.028  000.028: require('nvim-tree.explorer.watch')
145.440  000.023  000.023: require('nvim-tree.explorer.node-builders')
145.468  000.027  000.027: require('nvim-tree.explorer.sorters')
145.527  000.058  000.058: require('nvim-tree.explorer.filters')
145.624  000.058  000.058: require('nvim-tree.view')
145.627  000.099  000.041: require('nvim-tree.live-filter')
145.629  000.239  000.032: require('nvim-tree.explorer.explore')
145.657  000.027  000.027: require('nvim-tree.explorer.reload')
145.660  102.181  000.025: require('nvim-tree.explorer')
145.662  102.252  000.020: require('nvim-tree.core')
145.725  000.038  000.038: require('nvim-tree.modified')
145.727  000.063  000.026: require('nvim-tree.renderer.components.modified')
145.751  000.024  000.024: require('nvim-tree.renderer.components.padding')
145.776  000.024  000.024: require('nvim-tree.renderer.components.icons')
145.819  000.042  000.042: require('nvim-tree.renderer.components.full-name')
145.862  000.042  000.042: require('nvim-tree.renderer.components.git')
145.912  000.020  000.020: require('nvim-tree.enum')
145.914  000.050  000.030: require('nvim-tree.renderer.components.diagnostics')
146.038  000.054  000.054: require('nvim-tree.marks')
146.041  000.080  000.026: require('nvim-tree.renderer.components.bookmarks')
146.048  000.134  000.053: require('nvim-tree.renderer.builder')
146.055  102.671  000.039: require('nvim-tree.renderer')
146.083  102.727  000.056: require('nvim-tree.lib')
146.147  000.063  000.063: require('nvim-tree.colors')
146.288  000.026  000.026: require('nvim-tree.actions.finders.find-file')
146.290  000.055  000.028: require('nvim-tree.actions.tree.open')
146.313  000.021  000.021: require('nvim-tree.actions.tree.toggle')
146.342  000.027  000.027: require('nvim-tree.actions.reloaders.reloaders')
146.365  000.022  000.022: require('nvim-tree.actions.root.dir-up')
146.391  000.024  000.024: require('nvim-tree.actions.tree.find-file')
146.417  000.026  000.026: require('nvim-tree.actions.finders.search-node')
146.444  000.025  000.025: require('nvim-tree.actions.tree-modifiers.collapse-all')
146.473  000.029  000.029: require('nvim-tree.actions.tree-modifiers.expand-all')
146.499  000.025  000.025: require('nvim-tree.actions.tree-modifiers.toggles')
146.654  000.077  000.077: require('nvim-tree.keymap')
146.658  000.157  000.079: require('nvim-tree.help')
146.701  000.041  000.041: require('nvim-tree.actions.fs.create-file')
146.743  000.041  000.041: require('nvim-tree.actions.fs.remove-file')
146.780  000.035  000.035: require('nvim-tree.actions.fs.trash')
146.819  000.038  000.038: require('nvim-tree.actions.fs.rename-file')
